City/Town,Ward,Pct,"Bob Skold",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bakersfield,,,1,0,0,1
"Barre City",-,"Washington 3-1",3,0,0,3
"Barre City",-,"Washington 3-2",1,0,0,1
"Barre City",-,"Washington 3-3",0,0,0,0
Barton,,,1,0,0,1
Bennington,-,"Bennington 2-1",0,0,0,0
Bennington,-,"Bennington 2-1 Nb",0,0,0,0
Bennington,-,"Bennington 2-2",1,1,0,2
Bennington,-,"Bennington 5",1,0,0,1
Berkshire,,,1,0,0,1
Berlin,,,1,1,0,2
Bloomfield,,,1,0,0,1
Brandon,,,3,0,0,3
Brattleboro,-,"Windham 3-1",2,0,0,2
Brattleboro,-,"Windham 3-2",1,1,0,2
Brattleboro,-,"Windham 3-3",0,0,0,0
Brighton,,,1,0,0,1
Burlington,-,"Chittenden 3-1",0,0,0,0
Burlington,-,"Chittenden 3-2",1,0,0,1
Burlington,-,"Chittenden 3-3",0,0,0,0
Burlington,-,"Chittenden 3-4",0,0,0,0
Burlington,-,"Chittenden 3-5",0,0,0,0
Burlington,-,"Chittenden 3-6",0,0,0,0
Castleton,,,1,0,0,1
Cavendish,,,0,1,0,1
Chittenden,,,1,0,0,1
Colchester,-,"Chittenden 7-1",2,0,0,2
Colchester,-,"Chittenden 7-2",0,0,0,0
Concord,,,1,0,0,1
Danby,,,1,0,0,1
Danville,,,1,0,0,1
Derby,,,2,1,0,3
Dorset,,,1,0,0,1
Dummerston,,,1,0,0,1
"E. Haven",,,1,0,0,1
Elmore,,,1,0,0,1
Groton,,,1,0,0,1
Hancock,,,1,0,0,1
Hardwick,,,2,0,0,2
"Hyde Park",,,1,0,0,1
Lincoln,,,1,0,0,1
Londonderry,,,0,2,0,2
Ludlow,,,2,0,0,2
Manchester,,,1,0,0,1
Middlebury,,,1,0,0,1
Milton,-,"Chittenden 9",1,0,0,1
Milton,-,"Grand Isle-Chittenden 1-1",0,0,0,0
Montpelier,,,1,0,0,1
Newbury,-,"Center Town House",2,0,0,2
Newbury,-,"Town Office",0,0,0,0
Newbury,-,"West River Village",0,0,0,0
Newfane,,,1,1,0,2
Northfield,,,1,0,0,1
Norwich,,,1,0,0,1
Orange,,,1,0,0,1
Orwell,,,1,0,0,1
Peru,,,1,0,0,1
Plymouth,,,0,1,0,1
Pomfret,,,1,0,0,1
Putney,,,1,0,0,1
Rockingham,,,5,0,0,5
"Rutland City",-,"Rutland 5-1",0,0,0,0
"Rutland City",-,"Rutland 5-2",0,0,0,0
"Rutland City",-,"Rutland 5-3",1,0,0,1
"Rutland City",-,"Rutland 5-4",0,0,0,0
Salisbury,,,1,0,0,1
Shaftsbury,,,2,0,0,2
Shoreham,,,1,0,0,1
"S. Burlington",-,"Chittenden 3-10",0,0,0,0
"S. Burlington",-,"Chittenden 3-7",1,1,0,2
"S. Burlington",-,"Chittenden 3-8",0,0,0,0
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",1,1,0,2
"St. Albans Town",,,2,0,0,2
Stowe,,,1,0,0,1
Swanton,,,1,0,0,1
Tinmouth,,,1,0,0,1
Townshend,,,2,0,0,2
Vernon,,,1,0,0,1
Waitsfield,,,1,0,0,1
Wallingford,,,2,0,0,2
Waterbury,,,1,0,0,1
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",1,0,0,1
Wilmington,,,2,0,0,2
Windham,,,1,0,0,1
Windsor,,,1,0,0,1
Winooski,,,1,0,0,1
Woodford,,,1,0,0,1
Woodstock,,,1,0,0,1
TOTALS,,,86,11,0,97
