City/Town,Ward,Pct,"Marvin Malek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,0,1,0,1
Barnard,,,1,1,0,2
"Barre City",-,"Washington 3-1",1,1,0,2
"Barre City",-,"Washington 3-2",0,0,0,0
"Barre City",-,"Washington 3-3",0,1,0,1
"Barre Town",,,0,1,0,1
Barton,-,"Barton Memorial",0,0,0,0
Barton,-,"Orleans Memorial",2,0,0,2
Bennington,-,"Bennington 2-1",1,0,0,1
Bennington,-,"Bennington 2-1 Nb",0,0,0,0
Bennington,-,"Bennington 2-2",2,0,0,2
Bennington,-,"Bennington 5",0,0,0,0
Berlin,,,1,0,0,1
Bethel,,,1,1,0,2
Bolton,,,1,0,0,1
Brandon,,,0,1,0,1
Brattleboro,-,"Windham 3-1",3,0,0,3
Brattleboro,-,"Windham 3-2",0,0,0,0
Brattleboro,-,"Windham 3-3",4,0,0,4
Bridgewater,,,0,3,0,3
Brighton,,,2,1,0,3
Bristol,,,3,0,0,3
Brookfield,,,1,0,0,1
Brownington,,,1,1,0,2
Burke,,,1,1,0,2
Burlington,-,"Chittenden 3-1",1,0,0,1
Burlington,-,"Chittenden 3-2",1,0,0,1
Burlington,-,"Chittenden 3-3",57,9,0,66
Burlington,-,"Chittenden 3-4",8,0,0,8
Burlington,-,"Chittenden 3-5",7,0,0,7
Burlington,-,"Chittenden 3-6",0,0,0,0
Cabot,,,3,0,0,3
Castleton,,,1,0,0,1
Cavendish,,,1,0,0,1
Charleston,,,3,0,0,3
Chelsea,,,1,0,0,1
Colchester,-,"Chittenden 7-1",0,0,0,0
Colchester,-,"Chittenden 7-2",1,1,0,2
Concord,,,0,1,0,1
Corinth,,,1,0,0,1
Craftsbury,,,1,0,0,1
Danville,,,1,0,0,1
Derby,,,0,1,0,1
"E. Haven",,,1,0,0,1
"E. Montpelier",,,3,0,0,3
Essex,-,"Chittenden 6-1",0,0,0,0
Essex,-,"Chittenden 6-2",1,1,0,2
Essex,-,"Chittenden 6-3",1,0,0,1
"Fair Haven",,,2,0,0,2
Fairfax,,,2,0,0,2
Fayston,,,1,0,0,1
Ferrisburgh,,,1,0,0,1
Franklin,,,1,0,0,1
Georgia,,,1,0,0,1
Greensboro,,,1,0,0,1
Guilford,,,1,0,0,1
Halifax,,,1,0,0,1
Hancock,,,1,0,0,1
Hinesburg,-,"Chittenden 1-1",1,0,0,1
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,2,0,0,2
Huntington,,,1,0,0,1
"Isle La Motte",,,1,0,0,1
Jamaica,,,1,0,0,1
Landgrove,,,1,0,0,1
Ludlow,,,1,0,0,1
Lyndon,,,0,2,0,2
Marshfield,,,2,0,0,2
Middlesex,,,2,0,0,2
"Middletown Springs",,,10,0,0,10
Monkton,,,2,0,0,2
Montgomery,,,1,0,0,1
Montpelier,,,2,0,0,2
Morristown,,,2,2,0,4
"Mount Holly",,,0,1,0,1
Newbury,-,"Center Town House",0,1,0,1
Newbury,-,"Town Office",0,0,0,0
Newbury,-,"West River Village",1,0,0,1
"Newport City",,,1,0,0,1
Northfield,,,2,1,0,3
Norton,,,0,1,0,1
Pawlet,,,1,0,0,1
Peacham,,,1,0,0,1
Plainfield,,,1,0,0,1
Poultney,,,1,0,0,1
Pownal,,,1,0,0,1
Randolph,,,1,1,0,2
Readsboro,,,1,0,0,1
Ripton,,,0,1,0,1
Rochester,,,4,0,0,4
Rockingham,,,2,2,0,4
"Rutland City",-,"Rutland 5-1",0,0,0,0
"Rutland City",-,"Rutland 5-2",0,0,0,0
"Rutland City",-,"Rutland 5-3",0,1,0,1
"Rutland City",-,"Rutland 5-4",0,0,0,0
Salisbury,,,1,0,0,1
Shaftsbury,,,1,1,0,2
Shelburne,-,"Chittenden 5-1",2,3,0,5
Shelburne,-,"Chittenden 5-2",0,0,0,0
"S. Burlington",-,"Chittenden 3-10",0,0,0,0
"S. Burlington",-,"Chittenden 3-7",0,0,0,0
"S. Burlington",-,"Chittenden 3-8",2,1,0,3
"S. Burlington",-,"Chittenden 3-9",0,0,0,0
"St. Albans City",,,1,0,0,1
"St. Albans Town",,,1,0,0,1
"St. Johnsbury",,,1,2,0,3
Starksboro,,,1,0,0,1
Swanton,,,2,2,0,4
Thetford,,,0,2,0,2
Troy,,,2,0,0,2
Underhill,,,3,0,0,3
Vergennes,,,1,0,0,1
Vershire,,,1,0,0,1
Wallingford,,,1,0,0,1
Warren,,,1,0,0,1
Washington,,,3,0,0,3
Weathersfield,,,1,0,0,1
Westminster,-,"Windham 4",1,0,0,1
Westminster,-,"Windham 5",0,0,0,0
Whitingham,,,1,2,0,3
Williamstown,,,2,0,0,2
Williston,,,1,0,0,1
Wilmington,,,2,0,0,2
Winooski,,,4,0,0,4
Wolcott,,,1,0,0,1
Woodbury,,,3,0,0,3
Woodstock,,,1,0,0,1
TOTALS,,,217,52,0,269
