City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Arlington,,,-,0,1,0,1
Bakersfield,,,-,4,1,0,5
"Barre City",,,-,1,2,0,3
"Barre Town",,,-,5,1,0,6
Barton,,,-,1,0,0,1
Belvidere,,,-,0,1,0,1
Bennington,-,"Bennington 2-1",-,1,8,0,9
Bennington,-,"Bennington 2-2",-,3,3,0,6
Benson,,,-,0,1,0,1
Berlin,,,-,2,4,0,6
Bethel,,,-,1,5,0,6
Bolton,,,-,0,1,0,1
Bradford,,,-,0,1,0,1
Braintree,,,-,1,1,0,2
Brandon,,,-,0,1,0,1
Brattleboro,-,"Windham 2-1",-,1,0,0,1
Brattleboro,-,"Windham 2-2",-,0,3,0,3
Brattleboro,-,"Windham 2-3",-,7,4,0,11
Bridgewater,,,-,1,0,0,1
Bridport,,,-,0,3,0,3
Bristol,,,-,0,1,0,1
Brookfield,,,-,0,2,0,2
Burke,,,-,0,0,1,1
Burlington,-,"Chittenden 6-1",-,1,2,0,3
Burlington,-,"Chittenden 6-2",-,4,9,0,13
Burlington,-,"Chittenden 6-3",-,8,10,0,18
Burlington,-,"Chittenden 6-4",-,0,8,0,8
Burlington,-,"Chittenden 6-5",-,3,8,0,11
Burlington,-,"Chittenden 6-6",-,0,2,0,2
Burlington,-,"Chittenden 6-7",-,0,0,0,0
Cabot,,,-,1,1,0,2
Calais,,,-,1,3,0,4
Cambridge,,,-,3,1,0,4
Canaan,,,-,0,1,0,1
Castleton,,,-,3,2,0,5
Cavendish,,,-,1,0,0,1
Charleston,,,-,4,0,0,4
Charlotte,,,-,0,4,0,4
Chester,,,-,0,2,0,2
Clarendon,,,-,1,2,0,3
Colchester,-,"Chittenden 9-1",-,3,1,1,5
Colchester,-,"Chittenden 9-2",-,1,2,0,3
Corinth,,,-,1,1,0,2
Coventry,,,-,1,1,0,2
Craftsbury,,,-,1,0,0,1
Danby,,,-,1,1,0,2
Derby,,,-,1,1,0,2
Dorset,,,-,0,5,0,5
Dover,,,-,1,0,0,1
Dummerston,,,-,3,1,0,4
Duxbury,,,-,1,0,0,1
"E. Montpelier",,,-,0,1,0,1
Eden,,,-,3,0,0,3
Elmore,,,-,0,1,0,1
Enosburgh,,,-,5,8,0,13
Essex,-,"Chittenden 8-1",-,1,0,0,1
Essex,-,"Chittenden 8-2",-,2,1,0,3
Essex,-,"Chittenden 8-3",-,0,0,0,0
"Fair Haven",,,-,2,0,0,2
Fairfax,,,-,1,0,0,1
Fairfield,,,-,1,0,0,1
Fairlee,,,-,1,0,0,1
Fayston,,,-,1,1,0,2
Ferrisburgh,,,-,1,2,0,3
Fletcher,,,-,1,1,0,2
Franklin,,,-,6,0,0,6
Georgia,,,-,2,0,0,2
Glover,,,-,1,1,0,2
Goshen,,,-,0,1,0,1
"Grand Isle",,,-,2,2,0,4
Groton,,,-,1,3,0,4
Guilford,,,-,3,3,0,6
Halifax,,,-,0,4,0,4
Hardwick,,,-,0,6,0,6
Hartford,-,"Windsor 4-1",-,0,2,0,2
Hartford,-,"Windsor 4-2",-,0,2,0,2
Highgate,,,-,3,1,0,4
Hinesburg,-,"Chittenden 4-1",-,0,0,0,0
Hinesburg,-,"Chittenden 4-2",-,0,1,0,1
Huntington,,,-,1,3,0,4
"Hyde Park",,,-,1,1,0,2
Irasburg,,,-,1,0,0,1
"Isle La Motte",,,-,3,1,0,4
Jamaica,,,-,1,0,0,1
Jericho,,,-,1,1,0,2
Landgrove,,,-,1,0,0,1
Leicester,,,-,1,0,0,1
Londonderry,,,-,1,0,0,1
Lowell,,,-,1,0,0,1
Lunenburg,,,-,0,1,0,1
Lyndon,,,-,3,1,0,4
Marshfield,,,-,3,3,0,6
Middlebury,,,-,1,0,0,1
Middlesex,,,-,0,5,0,5
"Middletown Springs",,,-,1,4,0,5
Milton,-,"Chittenden 10",-,5,0,0,5
Milton,-,"Grand Isle-Chittenden",-,0,0,0,0
Monkton,,,-,1,0,0,1
Montgomery,,,-,2,5,0,7
Montpelier,,,-,5,7,0,12
Moretown,,,-,1,2,0,3
Morgan,,,-,0,1,0,1
Morristown,,,-,4,3,0,7
"New Haven",,,-,1,1,0,2
Newark,,,-,1,0,0,1
Newbury,,,-,1,4,0,5
Newfane,,,-,1,0,1,2
"Newport City",,,-,2,0,0,2
"Newport Town",,,-,1,2,0,3
Northfield,,,-,5,3,0,8
Norwich,,,-,2,3,0,5
Peacham,,,-,0,1,0,1
Pittsfield,,,-,1,0,0,1
Pittsford,,,-,2,2,0,4
Plainfield,,,-,2,2,0,4
Pomfret,,,-,2,1,0,3
Pownal,,,-,1,0,0,1
Proctor,,,-,0,1,0,1
Putney,,,-,3,2,0,5
Randolph,,,-,1,3,0,4
Readsboro,,,-,0,1,0,1
Richford,,,-,3,1,0,4
Richmond,,,-,2,0,2,4
Rochester,,,-,3,1,0,4
Rockingham,,,-,1,2,0,3
Royalton,,,-,1,0,0,1
Rupert,,,-,0,1,0,1
"Rutland City",-,"Rutland 5-1",-,0,0,0,0
"Rutland City",-,"Rutland 5-2",-,0,0,1,1
"Rutland City",-,"Rutland 5-3",-,0,0,1,1
"Rutland City",-,"Rutland 5-4",-,0,0,2,2
"Rutland Town",,,-,2,4,0,6
